Transaction ID,Date,Product ID,Product Name,Product Type,Quantity Sold,Unit Price,Total Sales Amount,Customer ID,Customer Age,Customer Gender,Customer Location,Payment Method,Discount Applied
T3331,01-01-2018,P005,Vitamin D3 Supplement,Supplement,4,12,48,C3331,22,Male,Denver,Cash,10%
T2459,02-01-2018,P030,Heart Health Supplement,Supplement,4,35,140,C2459,22,Male,Seattle,Debit Card,0%
T3116,02-01-2018,P043,Pain Relief Patch,Medicine,5,7,35,C3116,59,Male,San Francisco,Debit Card,10%
T2716,03-01-2018,P032,Caffeine Pills,Supplement,4,5,20,C2716,23,Female,Chicago,Cash,10%
T4583,04-01-2018,P007,Diabetic Test Strips,Medical Equipment,4,50,200,C4583,50,Female,Boston,Cash,5%
T3853,04-01-2018,P021,Hand Sanitizer,Hygiene,4,3,12,C3853,59,Male,Miami,Debit Card,15%
T4266,04-01-2018,P049,Antifungal Powder,Medicine,4,10,40,C4266,29,Female,Seattle,Mobile Payment,5%
T2331,04-01-2018,P038,Liver Health Supplement,Supplement,1,20,20,C2331,61,Female,Los Angeles,Debit Card,5%
T1982,05-01-2018,P036,Tea Tree Oil,Skincare,4,12,48,C1982,55,Female,Miami,Mobile Payment,5%
T3729,05-01-2018,P042,Green Tea Capsules,Supplement,4,10,40,C3729,20,Female,Boston,Credit Card,15%
T0823,05-01-2018,P015,Protein Powder,Nutrition,3,25,75,C0823,19,Male,Los Angeles,Mobile Payment,10%
T2753,06-01-2018,P019,Aloe Vera Gel,Skincare,4,8,32,C2753,54,Male,Los Angeles,Debit Card,5%
T0478,06-01-2018,P040,Hair Conditioner,Haircare,4,13,52,C0478,51,Female,Chicago,Cash,15%
T4999,06-01-2018,P024,Collagen Powder,Supplement,3,30,90,C4999,23,Male,San Francisco,Debit Card,15%
T2571,06-01-2018,P010,Lip Balm,Skincare,5,7,35,C2571,33,Male,Denver,Credit Card,5%
T1937,07-01-2018,P029,Zinc Supplement,Supplement,1,10,10,C1937,64,Male,Los Angeles,Cash,15%
T3030,07-01-2018,P012,Organic Face Wash,Skincare,2,10,20,C3030,37,Female,Boston,Cash,5%
T0664,07-01-2018,P031,Hydration Powder,Nutrition,1,7,7,C0664,54,Male,New York,Debit Card,15%
T4446,07-01-2018,P032,Caffeine Pills,Supplement,1,5,5,C4446,63,Female,Houston,Debit Card,0%
T4823,09-01-2018,P049,Antifungal Powder,Medicine,3,10,30,C4823,46,Female,Boston,Cash,5%
T3346,09-01-2018,P016,Energy Drink,Beverage,1,5,5,C3346,35,Female,Houston,Credit Card,10%
T1432,11-01-2018,P029,Zinc Supplement,Supplement,2,10,20,C1432,28,Female,Miami,Mobile Payment,5%
